Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,New: Highest,"New, 3rd Party FBM ðŸšš: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Buy Box),Custom_SKU,Google_Search_Link,Match,Amazon_link,Extraction_Link,Store,Price,Min Price,Max Price,Amazon_List_price,Can_List
"Steve Madden Women's Hadyn Sandal, Light Green Leather, 9",283423.0,283423.0,,,121.14,$121.14 ,$121.14 ,A1195MQ583AB5O,1.0,B0C5S582GH,0197369613719,197369613719,B0CYLZYHCZ,Steve Madden,no,GB197369613719,https://www.google.com/search?q=197369613719+Steve+Madden+Women%27s+Hadyn+Sandal%2C+Light+Green+Leather%2C+9&tbm=shop,Y,https://www.amazon.com/dp/B0C5S582GH?psc=1,"https://www.google.com/shopping/product/428968790038274369/offers?q=197369613719&prds=cid:428968790038274369,cond:1",Zappos.com,69.95,118.92,132.21,120.14,Y
"Steve Madden Women's Hadyn Sandal, Light Green Leather, 7.5",324871.0,324871.0,,,121.14,$121.14 ,$121.14 ,A1195MQ583AB5O,1.0,B0C5S4PZ94,0197369613658,197369613658,B0CYLZYHCZ,Steve Madden,no,GB197369613658,https://www.google.com/search?q=197369613658+Steve+Madden+Women%27s+Hadyn+Sandal%2C+Light+Green+Leather%2C+7.5&tbm=shop,Y,https://www.amazon.com/dp/B0C5S4PZ94?psc=1,"https://www.google.com/shopping/product/7262752575592804270/offers?q=197369613658&prds=cid:7262752575592804270,cond:1",Zappos.com,69.95,118.92,132.21,120.14,Y
"Steve Madden Women's Possession Sneaker, Black Multi, 6.5",4460.0,3967.0,68.99,6.0,68.99,$104.95 ,,-,0.0,B0BMJH6DFG,0196829420331,196829420331,B0CFG8SG2Z,Steve Madden,yes,GB196829420331,https://www.google.com/search?q=196829420331+Steve+Madden+Women%27s+Possession+Sneaker%2C+Black+Multi%2C+6.5&tbm=shop,Y,https://www.amazon.com/dp/B0BMJH6DFG?psc=1,"https://www.google.com/shopping/product/13066187186077318607/offers?q=196829420331&prds=cid:13066187186077318607,cond:1",6pm.com,39.99,67.98,75.58,67.99,Y
"Steve Madden Women's Possession Sneaker, Black Multi, 8",4685.0,4035.0,99.95,25.0,99.95,$104.95 ,,-,0.0,B0BMJRYDVK,0196829420362,196829420362,B0CFG8SG2Z,Steve Madden,yes,GB196829420362,https://www.google.com/search?q=196829420362+Steve+Madden+Women%27s+Possession+Sneaker%2C+Black+Multi%2C+8&tbm=shop,Y,https://www.amazon.com/dp/B0BMJRYDVK?psc=1,"https://www.google.com/shopping/product/13066187186077318607/offers?q=196829420362&prds=cid:13066187186077318607,cond:1",6pm.com,39.99,67.98,75.58,98.95,Y
"Steve Madden Women's Possession Sneaker, Lilac, 9.5",4608.0,4003.0,99.95,1.0,99.95,$99.95 ,$99.95 ,-,0.0,B0B6GQM3J3,0196829359167,196829359167,B0CFG8SG2Z,Steve Madden,yes,GB196829359167,https://www.google.com/search?q=196829359167+Steve+Madden+Women%27s+Possession+Sneaker%2C+Lilac%2C+9.5&tbm=shop,Y,https://www.amazon.com/dp/B0B6GQM3J3?psc=1,"https://www.google.com/shopping/product/13066187186077318607/offers?q=196829359167&prds=cid:13066187186077318607,cond:1",6pm.com,39.99,67.98,75.58,98.95,Y
"Steve Madden Women's Possession Sneaker, Black Multi, 9",4639.0,4033.0,99.95,7.0,99.95,$127.95 ,,-,0.0,B0BMJ61R2W,0196829420386,196829420386,B0CFG8SG2Z,Steve Madden,yes,GB196829420386,https://www.google.com/search?q=196829420386+Steve+Madden+Women%27s+Possession+Sneaker%2C+Black+Multi%2C+9&tbm=shop,Y,https://www.amazon.com/dp/B0BMJ61R2W?psc=1,"https://www.google.com/shopping/product/13066187186077318607/offers?q=196829420386&prds=cid:13066187186077318607,cond:1",6pm.com,39.99,67.98,75.58,98.95,Y
"Steve Madden Women's Possession Sneaker, Black, 9.5",4690.0,4082.0,,,,$188.00 ,$99.44 ,-,,B09GWD2VDH,0195945873762,195945873762,B0CFG8SG2Z,Steve Madden,yes,GB195945873762,https://www.google.com/search?q=195945873762+Steve+Madden+Women%27s+Possession+Sneaker%2C+Black%2C+9.5&tbm=shop,Y,https://www.amazon.com/dp/B09GWD2VDH?psc=1,"https://www.google.com/shopping/product/14487886541932180104/offers?q=195945873762&prds=cid:14487886541932180104,cond:1",Steve Madden,109.95,186.91,207.81,207.81,Y
"Steve Madden Women's Possession Sneaker, Black Multi, 7.5",4731.0,4058.0,99.95,3.0,99.95,$99.96 ,,-,0.0,B0BMJHVQ6M,0196829420355,196829420355,B0CFG8SG2Z,Steve Madden,yes,GB196829420355,https://www.google.com/search?q=196829420355+Steve+Madden+Women%27s+Possession+Sneaker%2C+Black+Multi%2C+7.5&tbm=shop,Y,https://www.amazon.com/dp/B0BMJHVQ6M?psc=1,"https://www.google.com/shopping/product/13066187186077318607/offers?q=196829420355&prds=cid:13066187186077318607,cond:1",6pm.com,39.99,67.98,75.58,98.95,Y
"Sneakers, turquoise, 8.5 US",4655.0,4074.0,176.27,3.0,176.27,$179.47 ,$176.27 ,A35T3I43XUSHP7,1.0,B0C6CFW9VZ,0196361819136,196361819136,B0CFG8SG2Z,Steve Madden,no,GB196361819136,https://www.google.com/search?q=196361819136+Sneakers%2C+turquoise%2C+8.5+US&tbm=shop,Y,https://www.amazon.com/dp/B0C6CFW9VZ?psc=1,"https://www.google.com/shopping/product/7934772901310052528/offers?q=196361819136&prds=cid:7934772901310052528,cond:1",Walmart,49.98,84.97,94.46,175.27,Y
"Steve Madden Maxima Sneakers Women Lace Up Rhinestone Chunky Low Top Knit Runner (White/Silver, 6)",8226.0,7518.0,,,99.95,$99.99 ,$73.08 ,A1G9RBEK6CB71F,1.0,B0B53JYJ38,0196361639680,196361639680,B08YZ1SM97,Steve Madden,yes,GB196361639680,https://www.google.com/search?q=196361639680+Steve+Madden+Maxima+Sneakers+Women+Lace+Up+Rhinestone+Chunky+Low+Top+Knit+Runner+%28White%2FSilver%2C+6%29&tbm=shop,Y,https://www.amazon.com/dp/B0B53JYJ38?psc=1,"https://www.google.com/shopping/product/9739411991693552592/offers?q=196361639680&prds=cid:9739411991693552592,cond:1",Steve Madden,51.98,88.37,98.24,98.95,Y
"Steve Madden Maxima Sneakers Women Lace Up Rhinestone Chunky Low Top Knit Runner (White/Silver, 9.5)",8170.0,7522.0,,,99.95,$99.99 ,$72.76 ,A1G9RBEK6CB71F,1.0,B0B53XC87R,0196361639758,196361639758,B08YZ1SM97,Steve Madden,yes,GB196361639758,https://www.google.com/search?q=196361639758+Steve+Madden+Maxima+Sneakers+Women+Lace+Up+Rhinestone+Chunky+Low+Top+Knit+Runner+%28White%2FSilver%2C+9.5%29&tbm=shop,Y,https://www.amazon.com/dp/B0B53XC87R?psc=1,"https://www.google.com/shopping/product/9739411991693552592/offers?q=196361639758&prds=cid:9739411991693552592,cond:1",Steve Madden,51.98,88.37,98.24,98.95,Y
"Steve Madden Women's Maxima Sneaker, Magenta, 10",8177.0,7525.0,,,,$109.95 ,,-,,B09C2M3V4V,0195945654866,195945654866,B08YZ1SM97,Steve Madden,yes,GB195945654866,https://www.google.com/search?q=195945654866+Steve+Madden+Women%27s+Maxima+Sneaker%2C+Magenta%2C+10&tbm=shop,Y,https://www.amazon.com/dp/B09C2M3V4V?psc=1,"https://www.google.com/shopping/product/10230105624697089049/offers?q=195945654866&prds=cid:10230105624697089049,cond:1",Steve Madden,51.98,88.37,98.24,98.24,Y
"Steve Madden Women's Maxima Sneaker, Grey Multi, 7",8179.0,7553.0,99.95,21.0,99.95,$175.00 ,$89.76 ,A1G9RBEK6CB71F,1.0,B08VWH77P7,0195189802580,195189802580,B08YZ1SM97,Steve Madden,yes,GB195189802580,https://www.google.com/search?q=195189802580+Steve+Madden+Women%27s+Maxima+Sneaker%2C+Grey+Multi%2C+7&tbm=shop,Y,https://www.amazon.com/dp/B08VWH77P7?psc=1,"https://www.google.com/shopping/product/14517343217023071203/offers?q=195189802580&prds=cid:14517343217023071203,cond:1",Steve Madden,51.98,88.37,98.24,98.95,Y
"Steve Madden Women's Maxima Sneaker, Charcoal, 10",8070.0,7440.0,94.49,1.0,81.2,$183.99 ,$94.49 ,A24V851RG6UNB7,1.0,B08W9LBV98,0195945116128,195945116128,B08YZ1SM97,Steve Madden,no,GB195945116128,https://www.google.com/search?q=195945116128+Steve+Madden+Women%27s+Maxima+Sneaker%2C+Charcoal%2C+10&tbm=shop,Y,https://www.amazon.com/dp/B08W9LBV98?psc=1,"https://www.google.com/shopping/product/8024092600761680853/offers?q=195945116128&prds=cid:8024092600761680853,cond:1",Steve Madden,51.98,88.37,98.24,93.49,Y
"Steve Madden Maxima Sneakers Women Lace Up Rhinestone Chunky Low Top Knit Runner (White/Silver, 7.5)",8345.0,7532.0,,,99.95,$99.99 ,$64.06 ,A1G9RBEK6CB71F,1.0,B0B53RSQL5,0196361639710,196361639710,B08YZ1SM97,Steve Madden,yes,GB196361639710,https://www.google.com/search?q=196361639710+Steve+Madden+Maxima+Sneakers+Women+Lace+Up+Rhinestone+Chunky+Low+Top+Knit+Runner+%28White%2FSilver%2C+7.5%29&tbm=shop,Y,https://www.amazon.com/dp/B0B53RSQL5?psc=1,"https://www.google.com/shopping/product/14517343217023071203/offers?q=196361639710&prds=cid:14517343217023071203,cond:1",Steve Madden,51.98,88.37,98.24,98.95,Y
"Steve Madden Women's Maxima Sneaker, Iridescent, 7",8129.0,7486.0,,,99.95,$99.95 ,$43.71 ,A1LEM297LNF1FK,1.0,B0B53PJ3CK,0196361572475,196361572475,B08YZ1SM97,Steve Madden,no,GB196361572475,https://www.google.com/search?q=196361572475+Steve+Madden+Women%27s+Maxima+Sneaker%2C+Iridescent%2C+7&tbm=shop,Y,https://www.amazon.com/dp/B0B53PJ3CK?psc=1,"https://www.google.com/shopping/product/10230105624697089049/offers?q=196361572475&prds=cid:10230105624697089049,cond:1",Steve Madden,51.98,88.37,98.24,98.95,Y
"Steve Madden Women's BIGMONA Sandal, Natural Raffia, 5.5",904650.0,904650.0,99.95,5.0,99.95,$99.95 ,,-,0.0,B0CV4JNW9M,0197369873175,197369873175,B0CGTLPHB3,Steve Madden,yes,GB197369873175,https://www.google.com/search?q=197369873175+Steve+Madden+Women%27s+BIGMONA+Sandal%2C+Natural+Raffia%2C+5.5&tbm=shop,Y,https://www.amazon.com/dp/B0CV4JNW9M?psc=1,"https://www.google.com/shopping/product/15929131312521874506/offers?q=197369873175&prds=cid:15929131312521874506,cond:1",Steve Madden,44.97,76.45,84.99,98.95,Y
"Steve Madden Women's BIGMONA Sandal, Natural Raffia, 6.5",20519.0,162358.0,99.95,,99.95,$99.95 ,$99.95 ,"A2WU6JHR5PVKH1, A1LEM297LNF1FK",4.0,B0CGSNJCWW,0197369873212,197369873212,B0CGTLPHB3,Steve Madden,yes,GB197369873212,https://www.google.com/search?q=197369873212+Steve+Madden+Women%27s+BIGMONA+Sandal%2C+Natural+Raffia%2C+6.5&tbm=shop,Y,https://www.amazon.com/dp/B0CGSNJCWW?psc=1,"https://www.google.com/shopping/product/15929131312521874506/offers?q=197369873212&prds=cid:15929131312521874506,cond:1",Steve Madden,44.97,76.45,84.99,98.95,Y
"Steve Madden Women's BIGMONA Sandal, Natural Raffia, 9.5",20205.0,92867.0,99.95,90.0,99.0,$99.95 ,$99.95 ,"A1EICGAHOS3FI3, A2WU6JHR5PVKH1, A1LEM297LNF1FK",5.0,B0CGSXZGZ2,0197369873304,197369873304,B0CGTLPHB3,Steve Madden,yes,GB197369873304,https://www.google.com/search?q=197369873304+Steve+Madden+Women%27s+BIGMONA+Sandal%2C+Natural+Raffia%2C+9.5&tbm=shop,Y,https://www.amazon.com/dp/B0CGSXZGZ2?psc=1,"https://www.google.com/shopping/product/15929131312521874506/offers?q=197369873304&prds=cid:15929131312521874506,cond:1",Steve Madden,44.97,76.45,84.99,98.95,Y
"Steve Madden Women's Mona Sandal, Raffia, 8.5",21787.0,232804.0,89.0,48.0,89.0,$89.95 ,$89.95 ,AI77OCBJLOQRT,2.0,B0C2QX3ZPG,0197369470619,197369470619,B0C5PR61G5,Steve Madden,yes,GB197369470619,https://www.google.com/search?q=197369470619+Steve+Madden+Women%27s+Mona+Sandal%2C+Raffia%2C+8.5&tbm=shop,Y,https://www.amazon.com/dp/B0C2QX3ZPG?psc=1,"https://www.google.com/shopping/product/15929131312521874506/offers?q=197369470619&prds=cid:15929131312521874506,cond:1",Steve Madden,44.97,76.45,84.99,88.0,Y
"Steve Madden Women's Campo Sneaker, Blue, 9",17968.0,15532.0,,,,$135.42 ,$74.36 ,-,,B0C5JY4ZCK,0197369558898,197369558898,B0BM6F9MLG,Steve Madden,yes,GB197369558898,https://www.google.com/search?q=197369558898+Steve+Madden+Women%27s+Campo+Sneaker%2C+Blue%2C+9&tbm=shop,Y,https://www.amazon.com/dp/B0C5JY4ZCK?psc=1,"https://www.google.com/shopping/product/4891230574848366057/offers?q=197369558898&prds=cid:4891230574848366057,cond:1",Steve Madden,44.98,76.47,85.01,85.01,Y
"Steve Madden Women's Starling Sneaker, Black/White Leopard, 6 M US",16692.0,13120.0,75.96,12.0,75.96,$83.95 ,,-,0.0,B0B643QCVV,0196829272084,196829272084,B0C62Q82KM,Steve Madden,yes,GB196829272084,https://www.google.com/search?q=196829272084+Steve+Madden+Women%27s+Starling+Sneaker%2C+Black%2FWhite+Leopard%2C+6+M+US&tbm=shop,Y,https://www.amazon.com/dp/B0B643QCVV?psc=1,"https://www.google.com/shopping/product/7297169127185202676/offers?q=196829272084&prds=cid:7297169127185202676,cond:1","Walmart - BHFO, Inc.",36.99,62.88,69.91,74.96,Y
"Steve Madden Women's Starling Sneaker, Black/White Leopard, 9.5 M US",16274.0,12854.0,75.95,6.0,75.95,$79.96 ,,-,0.0,B0B63Z82G8,0196829272220,196829272220,B0C62Q82KM,Steve Madden,yes,GB196829272220,https://www.google.com/search?q=196829272220+Steve+Madden+Women%27s+Starling+Sneaker%2C+Black%2FWhite+Leopard%2C+9.5+M+US&tbm=shop,Y,https://www.amazon.com/dp/B0B63Z82G8?psc=1,"https://www.google.com/shopping/product/11415037976833960352/offers?q=196829272220&prds=cid:11415037976833960352,cond:1","Walmart - BHFO, Inc.",36.99,62.88,69.91,74.95,Y
"Steve Madden Women's Starling Sneaker, Pink/Leopard, 9 M US",16095.0,12741.0,75.95,1000.0,75.95,$83.95 ,,-,0.0,B0B641X3KV,0196829272213,196829272213,B0C62Q82KM,Steve Madden,yes,GB196829272213,https://www.google.com/search?q=196829272213+Steve+Madden+Women%27s+Starling+Sneaker%2C+Pink%2FLeopard%2C+9+M+US&tbm=shop,Y,https://www.amazon.com/dp/B0B641X3KV?psc=1,"https://www.google.com/shopping/product/10742729458669166594/offers?q=196829272213&prds=cid:10742729458669166594,cond:1","Walmart - BHFO, Inc.",36.99,62.88,69.91,74.95,Y
"Steve Madden Women's Lilah Heeled Sandal, Black Rhinestone, 6.5",30090.0,29559.0,,,133.0,$133.00 ,,-,0.0,B097NQ58YF,0195945563731,195945563731,B0C7JLPTTK,Steve Madden,yes,GB195945563731,https://www.google.com/search?q=195945563731+Steve+Madden+Women%27s+Lilah+Heeled+Sandal%2C+Black+Rhinestone%2C+6.5&tbm=shop,Y,https://www.amazon.com/dp/B097NQ58YF?psc=1,"https://www.google.com/shopping/product/9091151278233633711/offers?q=195945563731&prds=cid:9091151278233633711,cond:1",Steve Madden,37.98,64.57,71.78,132.0,Y
"Steve Madden Women's Plus-Size Chevron Puffer Jacket, Black a, 2X",40718.0,27194.0,,,,$104.99 ,,-,,B0751XKNH3,0190596722889,190596722889,B077SQK8WC,Steve Madden,yes,GB190596722889,https://www.google.com/search?q=190596722889+Steve+Madden+Women%27s+Plus-Size+Chevron+Puffer+Jacket%2C+Black+a%2C+2X&tbm=shop,Y,https://www.amazon.com/dp/B0751XKNH3?psc=1,"https://www.google.com/shopping/product/18175560854193437627/offers?q=190596722889&prds=cid:18175560854193437627,cond:1","Walmart - BHFO, Inc.",84.99,144.48,160.63,160.63,Y
"Steve Madden Women's Grace Slide Sandal, Rhinestone, 8 M US",38130.0,76769.0,59.94,11.0,59.94,$64.96 ,,-,0.0,B083D21Q6K,0194068527095,194068527095,B08815LZQS,Steve Madden,yes,GB194068527095,https://www.google.com/search?q=194068527095+Steve+Madden+Women%27s+Grace+Slide+Sandal%2C+Rhinestone%2C+8+M+US&tbm=shop,Y,https://www.amazon.com/dp/B083D21Q6K?psc=1,"https://www.google.com/shopping/product/7852062138330716843/offers?q=194068527095&prds=cid:7852062138330716843,cond:1","Walmart - BHFO, Inc.",24.99,42.48,47.23,58.94,Y
"Steve Madden Women's Lilah Heeled Sandal, Bone Croco, 8",30778.0,29585.0,66.0,2.0,66.0,$131.79 ,$62.96 ,A1195MQ583AB5O,1.0,B09GWCHLKY,0196361067421,196361067421,B0C7JLPTTK,Steve Madden,yes,GB196361067421,https://www.google.com/search?q=196361067421+Steve+Madden+Women%27s+Lilah+Heeled+Sandal%2C+Bone+Croco%2C+8&tbm=shop,Y,https://www.amazon.com/dp/B09GWCHLKY?psc=1,"https://www.google.com/shopping/product/4705730642655661496/offers?q=196361067421&prds=cid:4705730642655661496,cond:1",BHFO,30.99,52.68,58.57,65.0,Y
Steve Madden Women's Irenee Sandal Dusty Silver 6 M,36736.0,43839.0,79.95,1.0,79.95,$79.95 ,,-,0.0,B09MKG1VMT,0196361038803,196361038803,B0CS3ZGJ4V,Steve Madden,yes,GB196361038803,https://www.google.com/search?q=196361038803+Steve+Madden+Women%27s+Irenee+Sandal+Dusty+Silver+6+M&tbm=shop,Y,https://www.amazon.com/dp/B09MKG1VMT?psc=1,"https://www.google.com/shopping/product/7938851029082798341/offers?q=196361038803&prds=cid:7938851029082798341,cond:1",Steve Madden,44.98,76.47,85.01,78.95,Y
"Steve Madden Women's Rezume Sneaker, White, 7",40294.0,43398.0,,,,$99.00 ,$79.95 ,-,,B0B172V8NH,0196829106570,196829106570,B0BG73C2B8,Steve Madden,no,GB196829106570,https://www.google.com/search?q=196829106570+Steve+Madden+Women%27s+Rezume+Sneaker%2C+White%2C+7&tbm=shop,Y,https://www.amazon.com/dp/B0B172V8NH?psc=1,"https://www.google.com/shopping/product/4078333688771230045/offers?q=196829106570&prds=cid:4078333688771230045,cond:1",Zappos.com,89.95,152.91,170.01,170.01,Y
"Steve Madden Women's Graya Flat, Black Patent, 7.5",69159.0,129100.0,119.0,,119.0,$119.00 ,$122.48 ,A1LEM297LNF1FK,2.0,B0CKY3K7XF,0198024156114,198024156114,B0CKYDHZ5K,Steve Madden,yes,GB198024156114,https://www.google.com/search?q=198024156114+Steve+Madden+Women%27s+Graya+Flat%2C+Black+Patent%2C+7.5&tbm=shop,Y,https://www.amazon.com/dp/B0CKY3K7XF?psc=1,"https://www.google.com/shopping/product/16891944014261636128/offers?q=198024156114&prds=cid:16891944014261636128,cond:1",Belk,65.3,111.01,123.42,118.0,Y
"Steve Madden Women's Gills Sneaker, Grey Suede, 9.5",56564.0,59946.0,,,,$158.54 ,$100.37 ,-,,B01KPKQNAK,0190640434188,190640434188,B07TB1RRK7,Steve Madden,yes,GB190640434188,https://www.google.com/search?q=190640434188+Steve+Madden+Women%27s+Gills+Sneaker%2C+Grey+Suede%2C+9.5&tbm=shop,Y,https://www.amazon.com/dp/B01KPKQNAK?psc=1,"https://www.google.com/shopping/product/14263311965060180268/offers?q=190640434188&prds=cid:14263311965060180268,cond:1",6pm.com,70.19,119.32,132.66,132.66,Y
"Steve Madden Women's Charlie Sneaker, Rhinestone, 8.5",38704.0,37769.0,79.95,47.0,79.95,$79.95 ,,-,0.0,B094NYNL8H,0195945410882,195945410882,B0CW2324TY,Steve Madden,yes,GB195945410882,https://www.google.com/search?q=195945410882+Steve+Madden+Women%27s+Charlie+Sneaker%2C+Rhinestone%2C+8.5&tbm=shop,Y,https://www.amazon.com/dp/B094NYNL8H?psc=1,"https://www.google.com/shopping/product/13482663599171589136/offers?q=195945410882&prds=cid:13482663599171589136,cond:1",Steve Madden,41.48,70.52,78.4,78.95,Y
"Steve Madden Women's Charlie Sneaker, Rhinestone, 7",38374.0,36918.0,79.95,21.0,79.95,$79.95 ,,-,0.0,B094NYYXZL,0195945410851,195945410851,B0CW2324TY,Steve Madden,yes,GB195945410851,https://www.google.com/search?q=195945410851+Steve+Madden+Women%27s+Charlie+Sneaker%2C+Rhinestone%2C+7&tbm=shop,Y,https://www.amazon.com/dp/B094NYYXZL?psc=1,"https://www.google.com/shopping/product/13482663599171589136/offers?q=195945410851&prds=cid:13482663599171589136,cond:1",Steve Madden,41.48,70.52,78.4,78.95,Y
"Steve Madden Women's Charlie Sneaker, White Rhinestone, 11",38446.0,37411.0,79.95,33.0,79.95,$79.95 ,,-,0.0,B097NNSKBZ,0195945410929,195945410929,B0CW2324TY,Steve Madden,yes,GB195945410929,https://www.google.com/search?q=195945410929+Steve+Madden+Women%27s+Charlie+Sneaker%2C+White+Rhinestone%2C+11&tbm=shop,Y,https://www.amazon.com/dp/B097NNSKBZ?psc=1,"https://www.google.com/shopping/product/13482663599171589136/offers?q=195945410929&prds=cid:13482663599171589136,cond:1",Steve Madden,41.48,70.52,78.4,78.95,Y
"Steve Madden Women's Belinda Pump, Champagne Rhinestone, 5.5",47367.0,51042.0,,,,$181.74 ,$106.74 ,-,,B0C5KPTWZQ,0197369572313,197369572313,B0BPMRMBBF,Steve Madden,no,GB197369572313,https://www.google.com/search?q=197369572313+Steve+Madden+Women%27s+Belinda+Pump%2C+Champagne+Rhinestone%2C+5.5&tbm=shop,Y,https://www.amazon.com/dp/B0C5KPTWZQ?psc=1,"https://www.google.com/shopping/product/8600113799652829970/offers?q=197369572313&prds=cid:8600113799652829970,cond:1",BHFO,70.99,120.68,134.17,134.17,Y
"Steve Madden Women's Belinda Pump, Champagne Rhinestone, 9.5",47226.0,48978.0,,,,$136.14 ,$136.14 ,-,,B0C5KND5RW,0197369572399,197369572399,B0BPMRMBBF,Steve Madden,yes,GB197369572399,https://www.google.com/search?q=197369572399+Steve+Madden+Women%27s+Belinda+Pump%2C+Champagne+Rhinestone%2C+9.5&tbm=shop,Y,https://www.amazon.com/dp/B0C5KND5RW?psc=1,"https://www.google.com/shopping/product/4992185216630515770/offers?q=197369572399&prds=cid:4992185216630515770,cond:1",Steve Madden,48.47,82.4,91.61,91.61,Y
"Steve Madden Women's Charlie Sneaker, Rhinestone, 6",39102.0,37371.0,79.95,11.0,79.95,$79.95 ,,-,0.0,B094NYP64J,0195945410837,195945410837,B0CW2324TY,Steve Madden,yes,GB195945410837,https://www.google.com/search?q=195945410837+Steve+Madden+Women%27s+Charlie+Sneaker%2C+Rhinestone%2C+6&tbm=shop,Y,https://www.amazon.com/dp/B094NYP64J?psc=1,"https://www.google.com/shopping/product/15636880003819959817/offers?q=195945410837&prds=cid:15636880003819959817,cond:1",Steve Madden,41.48,70.52,78.4,78.95,Y
"Steve Madden Women's Wafer Heeled Sandal, TAN Patent, 8",84053.0,144225.0,97.01,3.0,85.19,$184.40 ,$96.50 ,A24V851RG6UNB7,2.0,B09M7FG2RR,0196361406756,196361406756,B09M7Z19Z4,Steve Madden,no,GB196361406756,https://www.google.com/search?q=196361406756+Steve+Madden+Women%27s+Wafer+Heeled+Sandal%2C+TAN+Patent%2C+8&tbm=shop,Y,https://www.amazon.com/dp/B09M7FG2RR?psc=1,"https://www.google.com/shopping/product/2346131027081816249/offers?q=196361406756&prds=cid:2346131027081816249,cond:1","Walmart - BHFO, Inc.",49.99,84.98,94.48,96.01,Y
"Steve Madden Women's Belinda Flat, Black Leather Pearl, 6.5 M US",58533.0,58533.0,99.96,,99.96,$99.96 ,,-,0.0,B0CS4B7QGP,0197369386781,197369386781,B0BPMRMBBF,Steve Madden,yes,GB197369386781,https://www.google.com/search?q=197369386781+Steve+Madden+Women%27s+Belinda+Flat%2C+Black+Leather+Pearl%2C+6.5+M+US&tbm=shop,Y,https://www.amazon.com/dp/B0CS4B7QGP?psc=1,"https://www.google.com/shopping/product/11965070342723556922/offers?q=197369386781&prds=cid:11965070342723556922,cond:1",Steve Madden,48.47,82.4,91.61,98.96,Y
